Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_228	1.817	0.061	0.182	0.084	0.701	0.949	228	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.152275379229872	261	1	3684.89070846409
Simulation_229	2.823	0.358	0.056	0.011	1.956	0.496	229	0.05	12000	1000	1	500	111	1	0	1	146	146	0	1	0.00175029171528588	3	1	6972.71516051102
Simulation_230	2.32	0.209	0.119	0.12	2.583	0.722	230	0.05	12000	1000	1	500	111	1	0	1	1	3	2	0	-1	-1	-1	8739.84211527411
Simulation_231	1.314	0.506	0.245	0.047	1.328	0.27	231	0.05	12000	1000	1	500	111	0	29	1	3827	3827	0	1	0.935822637106184	1604	33	5292.80100455148
Simulation_232	1.44	0.098	0.166	0.02	1.485	0.213	232	0.05	12000	1000	1	500	111	1	0	1	154	162	8	1	0.306301050175029	525	127	4304.9765099085
Simulation_233	2.446	0.395	0.292	0.093	2.74	0.666	233	0.05	12000	1000	1	500	111	1	0	1	67	67	0	0	-1	-1	-1	8638.3866040427
Simulation_234	2.949	0.246	0.229	0.056	2.113	0.439	234	0.05	12000	1000	1	500	111	1	0	1	184	184	0	1	0.930571761960327	1595	108	444.780404709936
Simulation_235	1.943	0.543	0.103	0.129	0.858	0.892	235	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	3684.89070846409
Simulation_236	1.692	0.172	0.26	0.038	1.799	0.779	236	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4808.3865548768
Simulation_237	2.697	0.469	0.135	0.111	0.544	0.326	237	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	2727.66452947219
Simulation_238	2.194	0.024	0.072	0.075	1.172	0.553	238	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5212.15468436656
Simulation_239	1.189	0.321	0.198	0.147	2.426	0.1	239	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5520.57528721111
Simulation_240	1.126	0.042	0.3	0.116	2.348	0.355	240	0.05	12000	1000	1	500	111	1	0	1	432	432	0	1	0.00116686114352392	2	144	1304.25927246545
Simulation_241	2.132	0.339	0.174	0.043	1.093	0.807	241	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5175.95900289841
Simulation_242	2.635	0.191	0.111	0.079	1.721	0.128	242	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7850.84138546989
Simulation_243	1.629	0.488	0.237	0.006	2.975	0.581	243	0.05	12000	1000	1	500	111	1	0	1	603	603	0	1	1	1714	385	2222.71617445298
Simulation_244	1.88	0.265	0.143	0.134	1.407	0.694	244	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5263.50047585186
