Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_109	2.705	0.061	0.204	0.047	1.613	0.245	109	0.05	12000	1000	1	500	111	1	0	1	6	7	1	0	-1	-1	3245.48492047852	3
Simulation_110	2.202	0.039	0.267	0.083	0.985	0.924	110	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6309.86081399374	4
Simulation_111	1.196	0.084	0.142	0.01	2.24	0.471	111	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5686.93870729681	4
Simulation_112	1.134	0.041	0.102	0.033	2.475	0.217	112	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	8366.9489763119	4
Simulation_113	2.139	0.087	0.228	0.106	1.221	0.669	113	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5624.88703206687	4
Simulation_114	2.642	0.019	0.291	0.07	0.593	0.443	114	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7854.25625044967	4
Simulation_115	1.637	0.064	0.165	0.142	1.848	0.896	115	0.05	12000	1000	1	500	111	1	0	1	5	6	1	0	-1	-1	5124.00766474821	3
Simulation_116	1.888	0.03	0.197	0.015	0.907	0.783	116	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5890.0560568283	4
Simulation_117	2.894	0.075	0.071	0.088	2.162	0.33	117	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4604.73791640531	4
Simulation_118	2.391	0.053	0.134	0.051	2.789	0.556	118	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5591.76794547674	4
Simulation_119	1.385	0.098	0.259	0.124	1.534	0.104	119	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4670.52110620269	4
Simulation_120	1.259	0.013	0.15	0.079	1.377	0.16	120	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5419.41937386277	2
Simulation_121	2.265	0.058	0.275	0.006	2.632	0.613	121	0.05	12000	1000	1	500	111	1	0	1	9	11	2	1	0.00058343057176196	-1	3062.8825878134	2
Simulation_122	2.768	0.036	0.212	0.115	2.005	0.386	122	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7512.89399039767	4
Simulation_123	1.762	0.081	0.087	0.042	0.75	0.839	123	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7313.51779685732	5
Simulation_124	1.511	0.047	0.244	0.097	2.319	0.952	124	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4841.22865785881	3
Simulation_125	2.517	0.092	0.118	0.024	1.064	0.5	125	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4424.81355990815	4
Simulation_126	2.014	0.024	0.055	0.133	1.691	0.726	126	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5385.34045604151	4
Simulation_127	1.008	0.07	0.181	0.06	2.946	0.273	127	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7158.27251245441	5
Simulation_128	1.016	0.04	0.247	0.142	1.662	0.475	128	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7390.18142640645	5
Simulation_129	2.022	0.085	0.121	0.069	2.917	0.928	129	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7122.03687692253	5
Simulation_130	2.525	0.017	0.058	0.105	2.289	0.249	130	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4541.80020140912	4
Simulation_131	1.519	0.062	0.184	0.033	1.034	0.701	131	0.05	12000	1000	1	500	111	1	0	1	2	5	3	0	-1	-1	4786.46681246907	2
Simulation_132	1.77	0.028	0.152	0.124	1.975	0.588	132	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	3980.99331143716	2
Simulation_133	2.776	0.074	0.278	0.051	0.721	0.135	133	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6152.09190598392	4
