Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_89	2.36	0.082	0.169	0.09	1.574	0.287	89	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	5332.47416274282
Simulation_90	2.862	0.015	0.106	0.054	0.946	0.966	90	0.05	12000	1000	1	500	111	1	0	1	20	30	10	1	0.109334203655352	335	18	6116.23502903304
Simulation_91	1.857	0.06	0.232	0.126	2.201	0.514	91	0.05	12000	1000	1	500	111	1	0	1	26	26	0	0	-1	-1	-1	6252.99981695835
Simulation_92	1.605	0.026	0.138	0.035	0.632	0.401	92	0.05	12000	1000	1	500	111	1	0	1	131	166	35	1	0.599869451697128	1838	122	2952.06413685252
Simulation_93	2.611	0.071	0.263	0.108	1.887	0.853	93	0.05	12000	1000	1	500	111	1	0	1	12	15	3	1	0.713446475195822	2186	12	3438.10014478688
Simulation_94	2.108	0.049	0.2	0.072	2.515	0.174	94	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	3376.75329928504
Simulation_95	1.102	0.094	0.075	0.145	1.26	0.627	95	0.05	12000	1000	1	500	111	1	0	1	3163	3373	210	1	0.99967362924282	3063	3121	5920.88606979317
Simulation_96	1.071	0.022	0.283	0.056	1.77	0.528	96	0.05	12000	1000	1	500	111	1	0	1	602	721	119	1	0.00489556135770235	15	16	3410.17309182167
Simulation_97	2.077	0.067	0.157	0.129	0.515	0.981	97	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.35443864229765	1086	2	2519.83223284695
Simulation_98	2.58	0.044	0.095	0.02	1.142	0.302	98	0.05	12000	1000	1	500	111	1	0	1	71	71	0	1	0.0241514360313316	74	15	3707.48466278215
Simulation_99	1.574	0.09	0.22	0.092	2.397	0.754	99	0.05	12000	1000	1	500	111	1	0	1	33	33	0	1	0.413838120104439	1268	27	4366.18973173741
Simulation_100	1.825	0.033	0.126	0.074	1.456	0.641	100	0.05	12000	1000	1	500	111	1	0	1	700	721	21	1	0.326697127937337	1001	522	3952.0319978047
Simulation_101	2.831	0.078	0.251	0.147	2.711	0.188	101	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	4981.47564259033
Simulation_102	2.328	0.01	0.189	0.038	2.083	0.867	102	0.05	12000	1000	1	500	111	1	0	1	37	41	4	0	-1	-1	-1	4306.61770468137
Simulation_103	1.322	0.056	0.063	0.11	0.828	0.415	103	0.05	12000	1000	1	500	111	1	0	1	1859	2129	270	1	0.992819843342037	3042	1840	2765.05706467643
Simulation_104	1.448	0.05	0.236	0.138	0.672	0.358	104	0.05	12000	1000	1	500	111	1	0	1	550	644	94	1	0.990861618798956	3036	543	4219.92704260107
Simulation_105	2.454	0.095	0.11	0.065	1.926	0.811	105	0.05	12000	1000	1	500	111	1	0	1	15	16	1	1	0.623041775456919	1909	15	4390.8796421587
Simulation_106	2.957	0.027	0.173	0.101	2.554	0.132	106	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	6642.83497575434
Simulation_107	1.951	0.073	0.299	0.029	1.299	0.584	107	0.05	12000	1000	1	500	111	1	0	1	99	107	8	1	0.656331592689295	2011	93	4035.4583682403
Simulation_108	1.699	0.016	0.079	0.12	2.868	0.698	108	0.05	12000	1000	1	500	111	1	0	1	27	45	18	0	-1	-1	-1	5936.41959959783
Simulation_109	2.705	0.061	0.204	0.047	1.613	0.245	109	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5897.54845070553
Simulation_110	2.202	0.039	0.267	0.083	0.985	0.924	110	0.05	12000	1000	1	500	111	1	0	1	14	17	3	1	0.348563968668407	1068	14	4830.12586234371
Simulation_111	1.196	0.084	0.142	0.01	2.24	0.471	111	0.05	12000	1000	1	500	111	1	0	1	321	321	0	1	0.107375979112272	329	1	3641.2378721616
Simulation_112	1.134	0.041	0.102	0.033	2.475	0.217	112	0.05	12000	1000	1	500	111	0	86	1	1226	1228	2	0	-1	-1	-1	1937.47736053883
Simulation_113	2.139	0.087	0.228	0.106	1.221	0.669	113	0.05	12000	1000	1	500	111	1	0	1	80	81	1	1	0.951044386422977	2914	80	3048.09808241801
Simulation_114	2.642	0.019	0.291	0.07	0.593	0.443	114	0.05	12000	1000	1	500	111	1	0	1	7	14	7	1	0.142624020887728	437	7	4603.71623725253
Simulation_115	1.637	0.064	0.165	0.142	1.848	0.896	115	0.05	12000	1000	1	500	111	1	0	1	786	803	17	1	0.909921671018277	2788	390	6759.82161725532
Simulation_116	1.888	0.03	0.197	0.015	0.907	0.783	116	0.05	12000	1000	1	500	111	1	0	1	114	127	13	1	0.527415143603133	1616	110	2527.1797261798
Simulation_117	2.894	0.075	0.071	0.088	2.162	0.33	117	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5281.09942639321
Simulation_118	2.391	0.053	0.134	0.051	2.789	0.556	118	0.05	12000	1000	1	500	111	1	0	1	180	180	0	0	-1	-1	-1	6151.23200117399
