Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_85	2.985	0.099	0.297	0.008	0.791	0.909	85	0.05	12000	1000	1	500	111
Simulation_86	2.485	0.032	0.111	0.117	1.417	0.233	86	0.05	12000	1000	1	500	111
Simulation_87	1.483	0.077	0.236	0.045	2.67	0.684	87	0.05	12000	1000	1	500	111
Simulation_88	1.358	0.037	0.125	0.017	2.826	0.74	88	0.05	12000	1000	1	500	111
Simulation_89	2.359	0.082	0.25	0.09	1.574	0.289	89	0.05	12000	1000	1	500	111
Simulation_90	2.86	0.015	0.064	0.054	0.948	0.965	90	0.05	12000	1000	1	500	111
Simulation_91	1.859	0.06	0.189	0.126	2.2	0.515	91	0.05	12000	1000	1	500	111
Simulation_92	1.608	0.026	0.094	0.036	0.635	0.402	92	0.05	12000	1000	1	500	111
Simulation_93	2.61	0.071	0.219	0.108	1.887	0.853	93	0.05	12000	1000	1	500	111
Simulation_94	2.109	0.049	0.158	0.072	2.513	0.177	94	0.05	12000	1000	1	500	111
Simulation_95	1.108	0.094	0.283	0.144	1.261	0.627	95	0.05	12000	1000	1	500	111
Simulation_96	1.076	0.022	0.083	0.056	1.77	0.529	96	0.05	12000	1000	1	500	111
Simulation_97	2.078	0.067	0.208	0.129	0.517	0.979	97	0.05	12000	1000	1	500	111
Simulation_98	2.578	0.044	0.144	0.02	1.143	0.303	98	0.05	12000	1000	1	500	111
Simulation_99	1.577	0.089	0.269	0.092	2.396	0.754	99	0.05	12000	1000	1	500	111
Simulation_100	1.827	0.033	0.114	0.074	1.456	0.641	100	0.05	12000	1000	1	500	111
Simulation_101	2.829	0.078	0.239	0.147	2.709	0.191	101	0.05	12000	1000	1	500	111
Simulation_102	2.328	0.011	0.053	0.038	2.083	0.867	102	0.05	12000	1000	1	500	111
Simulation_103	1.327	0.056	0.178	0.11	0.83	0.416	103	0.05	12000	1000	1	500	111
Simulation_104	1.452	0.05	0.161	0.138	0.674	0.36	104	0.05	12000	1000	1	500	111
Simulation_105	2.453	0.095	0.286	0.065	1.926	0.81	105	0.05	12000	1000	1	500	111
Simulation_106	2.954	0.028	0.1	0.101	2.552	0.134	106	0.05	12000	1000	1	500	111
Simulation_107	1.953	0.073	0.225	0.029	1.3	0.585	107	0.05	12000	1000	1	500	111
Simulation_108	1.702	0.016	0.067	0.119	2.865	0.698	108	0.05	12000	1000	1	500	111
Simulation_109	2.704	0.061	0.192	0.047	1.613	0.247	109	0.05	12000	1000	1	500	111
Simulation_110	2.203	0.039	0.131	0.083	0.987	0.923	110	0.05	12000	1000	1	500	111
Simulation_111	1.201	0.084	0.256	0.011	2.239	0.472	111	0.05	12000	1000	1	500	111
Simulation_112	1.139	0.042	0.139	0.033	2.474	0.219	112	0.05	12000	1000	1	500	111
Simulation_113	2.14	0.087	0.264	0.106	1.222	0.669	113	0.05	12000	1000	1	500	111
Simulation_114	2.641	0.019	0.075	0.07	0.595	0.444	114	0.05	12000	1000	1	500	111
Simulation_115	1.64	0.064	0.2	0.142	1.848	0.895	115	0.05	12000	1000	1	500	111
Simulation_116	1.89	0.03	0.106	0.015	0.909	0.782	116	0.05	12000	1000	1	500	111
Simulation_117	2.891	0.075	0.231	0.088	2.161	0.331	117	0.05	12000	1000	1	500	111
Simulation_118	2.391	0.053	0.169	0.051	2.787	0.557	118	0.05	12000	1000	1	500	111
Simulation_119	1.389	0.098	0.294	0.124	1.535	0.106	119	0.05	12000	1000	1	500	111
Simulation_120	1.264	0.013	0.058	0.079	1.378	0.162	120	0.05	12000	1000	1	500	111
Simulation_121	2.266	0.058	0.183	0.006	2.631	0.613	121	0.05	12000	1000	1	500	111
Simulation_122	2.766	0.036	0.122	0.115	2.004	0.388	122	0.05	12000	1000	1	500	111
Simulation_123	1.765	0.081	0.247	0.042	0.752	0.838	123	0.05	12000	1000	1	500	111
Simulation_124	1.514	0.047	0.153	0.097	2.318	0.951	124	0.05	12000	1000	1	500	111
Simulation_125	2.516	0.092	0.278	0.024	1.065	0.5	125	0.05	12000	1000	1	500	111
Simulation_126	2.015	0.025	0.092	0.133	1.691	0.726	126	0.05	12000	1000	1	500	111
Simulation_127	1.014	0.07	0.217	0.06	2.944	0.275	127	0.05	12000	1000	1	500	111
Simulation_128	1.022	0.04	0.133	0.142	1.662	0.476	128	0.05	12000	1000	1	500	111
Simulation_129	2.023	0.085	0.258	0.069	2.914	0.927	129	0.05	12000	1000	1	500	111
Simulation_130	2.524	0.017	0.069	0.105	2.288	0.251	130	0.05	12000	1000	1	500	111
Simulation_131	1.522	0.062	0.194	0.033	1.036	0.701	131	0.05	12000	1000	1	500	111
Simulation_132	1.773	0.029	0.103	0.123	1.975	0.589	132	0.05	12000	1000	1	500	111
Simulation_133	2.774	0.074	0.228	0.051	0.723	0.138	133	0.05	12000	1000	1	500	111
Simulation_134	2.273	0.051	0.164	0.087	1.349	0.814	134	0.05	12000	1000	1	500	111
Simulation_135	1.272	0.096	0.289	0.015	2.601	0.363	135	0.05	12000	1000	1	500	111
Simulation_136	1.397	0.012	0.056	0.042	2.758	0.42	136	0.05	12000	1000	1	500	111
Simulation_137	2.399	0.057	0.181	0.114	1.505	0.87	137	0.05	12000	1000	1	500	111
Simulation_138	2.899	0.034	0.117	0.005	0.879	0.194	138	0.05	12000	1000	1	500	111
Simulation_139	1.898	0.079	0.242	0.078	2.132	0.645	139	0.05	12000	1000	1	500	111
Simulation_140	1.647	0.045	0.147	0.06	0.566	0.758	140	0.05	12000	1000	1	500	111
Simulation_141	2.649	0.091	0.275	0.133	1.818	0.307	141	0.05	12000	1000	1	500	111
Simulation_142	2.148	0.023	0.086	0.024	2.445	0.983	142	0.05	12000	1000	1	500	111
Simulation_143	1.147	0.068	0.211	0.096	1.192	0.532	143	0.05	12000	1000	1	500	111
Simulation_144	1.209	0.026	0.094	0.092	1.114	0.279	144	0.05	12000	1000	1	500	111
Simulation_145	2.211	0.071	0.219	0.019	2.366	0.729	145	0.05	12000	1000	1	500	111
Simulation_146	2.711	0.048	0.156	0.128	2.993	0.504	146	0.05	12000	1000	1	500	111
Simulation_147	1.71	0.093	0.281	0.055	1.74	0.955	147	0.05	12000	1000	1	500	111
Simulation_148	1.96	0.037	0.125	0.11	2.68	0.842	148	0.05	12000	1000	1	500	111
Simulation_149	2.962	0.082	0.25	0.037	1.427	0.391	149	0.05	12000	1000	1	500	111
Simulation_150	2.461	0.014	0.061	0.146	0.801	0.617	150	0.05	12000	1000	1	500	111
Simulation_151	1.46	0.06	0.189	0.074	2.053	0.166	151	0.05	12000	1000	1	500	111
Simulation_152	1.334	0.054	0.172	0.028	2.21	0.11	152	0.05	12000	1000	1	500	111
Simulation_153	2.336	0.099	0.297	0.101	0.957	0.56	153	0.05	12000	1000	1	500	111
Simulation_154	2.837	0.031	0.108	0.064	1.584	0.335	154	0.05	12000	1000	1	500	111
Simulation_155	1.835	0.076	0.233	0.137	2.836	0.786	155	0.05	12000	1000	1	500	111
Simulation_156	1.585	0.02	0.078	0.01	1.271	0.898	156	0.05	12000	1000	1	500	111
Simulation_157	2.586	0.065	0.203	0.083	2.523	0.448	157	0.05	12000	1000	1	500	111
Simulation_158	2.086	0.043	0.142	0.046	1.897	0.673	158	0.05	12000	1000	1	500	111
Simulation_159	1.084	0.088	0.267	0.119	0.644	0.222	159	0.05	12000	1000	1	500	111
Simulation_160	1.115	0.016	0.067	0.062	2.406	0.828	160	0.05	12000	1000	1	500	111
Simulation_161	2.117	0.061	0.192	0.135	1.153	0.377	161	0.05	12000	1000	1	500	111
Simulation_162	2.618	0.038	0.128	0.026	0.527	0.603	162	0.05	12000	1000	1	500	111
Simulation_163	1.616	0.083	0.253	0.098	1.779	0.152	163	0.05	12000	1000	1	500	111
Simulation_164	1.867	0.05	0.161	0.044	0.84	0.265	164	0.05	12000	1000	1	500	111
Simulation_165	2.868	0.095	0.286	0.117	2.092	0.715	165	0.05	12000	1000	1	500	111
Simulation_166	2.367	0.027	0.097	0.008	2.719	0.49	166	0.05	12000	1000	1	500	111
Simulation_167	1.366	0.072	0.222	0.08	1.466	0.941	167	0.05	12000	1000	1	500	111
Simulation_168	1.491	0.033	0.114	0.126	1.31	0.997	168	0.05	12000	1000	1	500	111
Simulation_169	2.492	0.078	0.239	0.053	2.562	0.546	169	0.05	12000	1000	1	500	111
Simulation_170	2.993	0.01	0.05	0.089	1.936	0.772	170	0.05	12000	1000	1	500	111
Simulation_171	1.992	0.055	0.175	0.017	0.683	0.321	171	0.05	12000	1000	1	500	111
Simulation_172	1.741	0.022	0.083	0.144	2.249	0.208	172	0.05	12000	1000	1	500	111
Simulation_173	2.743	0.067	0.208	0.071	0.997	0.659	173	0.05	12000	1000	1	500	111
Simulation_174	2.242	0.044	0.144	0.108	1.623	0.434	174	0.05	12000	1000	1	500	111
Simulation_175	1.241	0.089	0.269	0.035	2.875	0.884	175	0.05	12000	1000	1	500	111
Simulation_176	1.178	0.047	0.153	0.012	1.858	0.631	176	0.05	12000	1000	1	500	111
Simulation_177	2.179	0.092	0.278	0.085	0.605	0.18	177	0.05	12000	1000	1	500	111
Simulation_178	2.68	0.024	0.089	0.049	1.231	0.856	178	0.05	12000	1000	1	500	111
Simulation_179	1.679	0.069	0.214	0.121	2.484	0.405	179	0.05	12000	1000	1	500	111
Simulation_180	1.929	0.013	0.058	0.03	1.545	0.518	180	0.05	12000	1000	1	500	111
Simulation_181	2.931	0.058	0.183	0.103	2.797	0.969	181	0.05	12000	1000	1	500	111
Simulation_182	2.43	0.036	0.122	0.067	2.171	0.293	182	0.05	12000	1000	1	500	111
Simulation_183	1.428	0.081	0.247	0.139	0.918	0.743	183	0.05	12000	1000	1	500	111
Simulation_184	1.303	0.03	0.106	0.112	0.762	0.687	184	0.05	12000	1000	1	500	111
Simulation_185	2.305	0.075	0.231	0.039	2.014	0.236	185	0.05	12000	1000	1	500	111
Simulation_186	2.805	0.053	0.169	0.148	2.64	0.912	186	0.05	12000	1000	1	500	111
Simulation_187	1.804	0.098	0.294	0.076	1.388	0.462	187	0.05	12000	1000	1	500	111
Simulation_188	1.554	0.041	0.136	0.094	2.954	0.349	188	0.05	12000	1000	1	500	111
Simulation_189	2.555	0.086	0.261	0.021	1.701	0.8	189	0.05	12000	1000	1	500	111
Simulation_190	2.054	0.019	0.075	0.13	1.075	0.124	190	0.05	12000	1000	1	500	111
Simulation_191	1.053	0.064	0.2	0.058	2.327	0.574	191	0.05	12000	1000	1	500	111
Simulation_192	1.037	0.028	0.1	0.041	1.134	0.736	192	0.05	12000	1000	1	500	111
