Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_427	1.986	0.1	0.134	1.412	0.799	427	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.129849310676499	2
Simulation_428	1.735	0.043	0.006	2.353	0.46	428	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1
Simulation_429	2.741	0.088	0.079	1.098	0.912	429	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.119268996473229	2
Simulation_430	2.238	0.02	0.115	2.98	0.686	430	0.05	12000	1000	1	500	111	1	0	1	104	104	0	0	-1	-1
Simulation_431	1.232	0.066	0.043	1.725	0.234	431	0.05	12000	1000	1	500	111	0	77	1	1749	1749	0	1	0.207438281500481	430
Simulation_432	1.169	0.018	0.029	1.176	0.432	432	0.05	12000	1000	1	500	111	0	106	1	2441	2491	50	1	0.126001923693492	564
Simulation_433	2.175	0.063	0.102	2.431	0.884	433	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.0538634177621032	2
Simulation_434	2.678	0.04	0.138	0.549	0.658	434	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.385700545046489	2
Simulation_435	1.672	0.086	0.065	1.804	0.206	435	0.05	12000	1000	1	500	111	0	94	1	1132	1132	0	1	0.155177941647964	470
Simulation_436	1.923	0.052	0.083	1.49	0.771	436	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.881692850272523	12
Simulation_437	2.929	0.097	0.011	2.745	0.319	437	0.05	12000	1000	1	500	111	0	23	1	1331	1331	0	1	0.15806348188522	593
Simulation_438	2.426	0.029	0.047	0.863	0.545	438	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.52709201667201	12
Simulation_439	1.42	0.074	0.12	2.118	0.996	439	0.05	12000	1000	1	500	111	1	0	1	118	119	1	1	0.594741904456557	71
Simulation_440	1.295	0.035	0.074	2.902	0.827	440	0.05	12000	1000	1	500	111	1	0	1	2476	2494	18	1	0.423853799294646	454
Simulation_441	2.301	0.08	0.147	1.647	0.375	441	0.05	12000	1000	1	500	111	1	0	1	427	428	1	1	0.129528695094582	202
Simulation_442	2.804	0.012	0.111	2.275	0.149	442	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_443	1.798	0.057	0.038	1.02	0.601	443	0.05	12000	1000	1	500	111	1	0	1	29	29	0	1	0.878807310035268	16
Simulation_444	1.546	0.023	0.129	2.588	0.262	444	0.05	12000	1000	1	500	111	1	0	1	22	23	1	0	-1	-1
Simulation_445	2.552	0.069	0.056	1.333	0.714	445	0.05	12000	1000	1	500	111	1	0	1	23	23	0	1	0.12023084321898	18
Simulation_446	2.049	0.046	0.02	1.961	0.94	446	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_447	1.043	0.091	0.093	0.706	0.488	447	0.05	12000	1000	1	500	111	1	0	1	6	6	0	1	0.672651490862456	6
Simulation_448	1.028	0.037	0.021	1.667	0.622	448	0.05	12000	1000	1	500	111	0	129	1	2079	2083	4	1	0.678422571336967	1724
Simulation_449	2.033	0.082	0.094	2.922	0.171	449	0.05	12000	1000	1	500	111	1	0	1	859	859	0	1	0.134017313241424	406
Simulation_450	2.536	0.014	0.13	1.039	0.396	450	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_451	1.53	0.059	0.057	2.294	0.848	451	0.05	12000	1000	1	500	111	1	0	1	541	541	0	1	0.856043603719141	202
Simulation_452	1.782	0.025	0.112	1.353	0.509	452	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_453	2.788	0.071	0.039	2.608	0.961	453	0.05	12000	1000	1	500	111	1	0	1	23	23	0	1	0.100673292722026	15
Simulation_454	2.285	0.048	0.076	0.725	0.735	454	0.05	12000	1000	1	500	111	1	0	1	3	4	1	1	0.332478358448221	3
